"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","CPOM.OM.AREA.g.m2","CPOM.ASH.AREA.g.m2"
"LTREB","44425","WS","1","COBBLE","27.625",NA,NA
"LTREB","44425","WS","2","COBBLE","12.25",NA,NA
"LTREB","44425","WS","3","COBBLE","33.625",NA,NA
"LTREB","44425","WS","4","COBBLE","39","9.02930853431236","8.03109352046879"
"LTREB","44425","WS","5","COBBLE","26","5.35905536352042","5.06332735709373"
"LTREB","44425","DL","1","COBBLE","9.375",NA,NA
"LTREB","44425","DL","2","COBBLE","20.625",NA,NA
"LTREB","44425","DL","3","COBBLE","21",NA,NA
"LTREB","44425","DL","4","COBBLE","36.125",NA,NA
"LTREB","44425","DL","5","COBBLE","37.625","1.88959003652267","4.51464180981155"
"LTREB","44425","GR","1","COBBLE","25.75",NA,NA
"LTREB","44425","GR","2","COBBLE","36.7",NA,NA
"LTREB","44425","GR","3","COBBLE","11.5",NA,NA
"LTREB","44425","GR","4","COBBLE","25.25",NA,NA
"LTREB","44425","GR","5","COBBLE","17.125",NA,NA
"LTREB","44425","GC","1","COBBLE","22.86",NA,NA
"LTREB","44425","GC","2","COBBLE","35.8775",NA,NA
"LTREB","44425","GC","3","COBBLE","37.7825",NA,NA
"LTREB","44425","GC","4","COBBLE","33.81375",NA,NA
"LTREB","44425","GC","5","COBBLE","46.355",NA,NA
"LTREB","44425","GC","6","COBBLE","45.72",NA,NA
"LTREB","44425","GC","7","COBBLE","47.625",NA,NA
"LTREB","44425","BG","1","COBBLE","30.95625","79.1686359112155","6.34175581782269"
"LTREB","44425","BG","2","COBBLE","31.4325","6.74602164912912","1.7827479654918"
"LTREB","44425","BG","3","COBBLE","37.94125",NA,NA
"LTREB","44425","BG","4","COBBLE","37.94125",NA,NA
"LTREB","44425","BG","5","COBBLE","37.94125","5.72694274055819","5.28526666400188"
"LTREB","44425","BG","6","COBBLE","41.43375","22.8038441921519","1.85975222483369"
"LTREB","44425","BG","7","COBBLE","24.765",NA,NA
"DRONE","44448","GC","1","COBBLE","18.75",NA,NA
"DRONE","44448","GC","2","COBBLE","30",NA,NA
"DRONE","44448","GC","3","COBBLE","34.5",NA,NA
