"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","FBOM.AREA.g.m2","FBOM.ASH.AREA.g.m2","FBOM.CHLA.MG.M2.HAUER","FBOM.PHAEO.MG.M2.HAUER","FBOM.640/664","FBOM.PHICOCYANIN.MG/M2","FBOM.CHLA.MG.M2.RITCHIE","FBOM.CHLB.MG.M2.RITCHIE","FBOM.CHLC.MG.M2.RITCHIE","FBOM.CHLD.MG.M2.RITCHIE","FBOM.CHL.TOTAL.MG.M2.RITCHIE"
"LTREB","44033","BG","1","COBBLE","32.25","-3.368109375e-06","3.53540625e-06","0.906394736842105","0.997034210526316","1.625","4.93425","1.15143193421053","0.155636802631579","-0.0210711315789474","-0.0228482763157895","1.26315611842105"
"LTREB","44033","BG","2","COBBLE","22.75","2.37840909090912e-08","1.365e-07","1.07192647058824","0.92900294117647","1.6","17.788225","1.08679560294118","0.08865675","-0.0136299264705883","-0.167945852941176","0.993881926470588"
"LTREB","44033","BG","3","COBBLE","10","1.02777777777778e-07","9.18888888888889e-07","0.9345","0.841049999999999","1.6","5.308","1.1064625","0.2635395","0.340696","-0.360763","1.349938"
"LTREB","44033","BG","4","COBBLE","28.25","4.25095238095238e-07","3.51914285714286e-06","1.79589285714286","1.22120714285714","1.63157894736842","4.27705","2.06679286904762","0.566954630952381","0.642990178571428","0.0868808571428571","3.36363064285714"
"LTREB","44033","BG","5","COBBLE","38","5.66200000000001e-07","1.805e-07","50.73","34.4964","1.52941176470588","5.6202","60.507058","2.767958","6.864548","-1.365378","68.774566"
"LTREB","44033","GC","1","COBBLE","25.75","3.23530357142857e-06","5.72017857142857e-07","5.93771590909091","2.15632840909091","1.46296296296296","12.566","6.68511082954545","0.77748028409091","0.781640079545454","0.229897170454545","8.47417167045455"
"LTREB","44033","GC","2","COBBLE","35.25","5.00109375e-07","2.68340625e-06","5.72889130434782","2.57800108695652","1.71428571428571","12.5913","6.77182079347826","1.55667218478261","1.03876692391304","0.335028260869565","9.70232954347826"
"LTREB","44033","GC","3","COBBLE","21.5","4.65833333333332e-08","1.06305555555556e-07","1.5308","0.34443","1.6","0","1.13876326666667","0.0430114666666666","0.298526066666667","-0.0299652666666667","1.4503427"
"LTREB","44033","GC","4","COBBLE","32.5","2.15119047619048e-07","1.30619047619048e-06","2.60325","1.648725","1.6","0","2.8901925","0.54690675","0.343923125","0.109422625","3.890462875"
"LTREB","44033","GC","5","COBBLE","32.75","2.85392857142857e-07","1.44411904761905e-06","4.58032142857143","1.54065357142857","1.42857142857143","5.904825","3.79869589285714","1.23935825","1.62309623809524","0.901370452380952","7.5625489047619"
"LTREB","44033","CR","1","COBBLE","24","4.67368421052633e-08","8.21052631578948e-08","1.78","0.213599999999999","1.41666666666667","0","1.51376933333333","0.109689333333333","0.112154666666667","-0.032928","1.70269466666667"
"LTREB","44033","CR","2","COBBLE","36.75","1.35975e-07","7.09275e-07","4.13147368421053","0.206573684210527","1.44444444444444","0","3.89578046052632","0.437156723684211","0.806795960526316","0.112818631578947","5.25257692105263"
"LTREB","44033","CR","3","COBBLE","35.25","7.93124999999998e-08","6.16875e-07","5.44890789473684","0.0990710526315783","1.36","1.5696825","5.17805060526316","0.407749736842105","1.56556752631579","0.263473342105263","7.41487646052632"
"LTREB","44033","CR","4","COBBLE","37.25","1.24166666666667e-07","1.35164285714286e-06","7.32844736842105","2.56495657894737","1.35","2.94722","8.37241390789474","0.719769986842105","1.11339857894737","0.234104486842105","10.4397418552632"
"LTREB","44033","CR","5","COBBLE","38","1.159e-07","8.36e-07","10.7096666666667","15.3317333333333","1.40506329113924","23.5524","10.2199796666667","2.78967922222222","5.40327911111111","1.49454633333333","19.907554"
"LTREB","44033","WS","1","COBBLE","33.5","2.412e-07","1.34446666666667e-06","10.1371","3.63743","1.3469387755102","41.004","11.4688031666667","2.1386869","0.646590199999998","0.235674733333333","14.4898242333333"
"LTREB","44033","WS","2","COBBLE","23.5","1.06818181818182e-07","8.28909090909091e-07","21.1051363636364","4.84847727272727","1.31683168316832","2.43695","23.6523825454545","1.31399609090909","2.38468172727273","0.408637227272727","27.7598535454546"
"LTREB","44033","WS","3","PEBBLE","18","4.8e-08","3.45e-07","1.068","0.9879",NA,"1.27008","1.662317","0.163163","0.287932","0.178472","2.291896"
"LTREB","44033","WS","4","PEBBLE","31","6.00624999999998e-08","2.8675e-07","-2.06925","11.12221875",NA,"4.2687","3.82422975","1.291603375","-2.7630939375","0.6243496875","2.9771140625"
"LTREB","44033","WS","5","SAND","17.75","8.16499999999999e-08","2.75125e-07","11.848125","1.7535225","1.296875","8.08335","12.2777531","1.9026651","0.9979689","0.50132035","15.67978555"
"LTREB","44047","BG","1","COBBLE","26.5","1.01583333333333e-07","1.40597222222222e-06","5.05392857142857","4.85177142857143","1.44736842105263","16.2127","7.7040005","0.596397642857143","0.421143678571428","0.0433918571428571","8.76498289285714"
"LTREB","44047","BG","2","COBBLE","55.75","6.96875000000001e-08","7.108125e-07","3.30783333333333","2.480875","1.33333333333333","17.33825","4.25623684722222","-0.047861375","0.166283666666667","-0.0861771111111111","4.28850990277778"
"LTREB","44047","BG","3","SAND","32.25","6.08142857142862e-08","3.39085714285714e-07","2.96922413793103","1.18768965517241","1.41666666666667","9.88785","2.96389287931034","0.793071982758621","0.819505862068965","-0.0840323793103448","4.4924539137931"
"LTREB","44047","BG","4","COBBLE","30.75","1.67203125e-07","1.4836875e-06","4.105125","2.5999125","1.57894736842105","12.30615","5.422870125","1.565872","0.0676858749999998","-0.1179365","6.9385196875"
"LTREB","44047","BG","5","COBBLE","15.25","1.67750000000001e-08","2.1045e-07","0.740318181818182","0.0370159090909092","1.5","4.658875","0.635818943181818","-0.00417780681818185","-0.0296972954545455","-0.0114991931818182","0.590448806818182"
"LTREB","44047","CR","1","COBBLE","16.25","5.3625e-08","4.03e-07","2.75140243902439","2.13762804878049","1.29545454545455","2.819375","3.77516274390244","0.670375914634146","0.487255853658536","0.257131280487805","5.18995036585366"
"LTREB","44047","CR","2","COBBLE","29.75","1.98333333333335e-08","1.4025e-07","2.41751086956522","0.967004347826087","1.36842105263158","2.12653","2.71862743478261","0.456049391304348","0.3957345","0.217484141304348","3.78791357608696"
"LTREB","44047","CR","3","COBBLE","29","9.42500000000001e-08","1.00195e-06","3.0972","3.135915","1.41935483870968","2.80517","4.98950365","1.06546145","0.2937729","0.20607255","6.554841"
"LTREB","44047","CR","4","COBBLE","35","1.44772727272727e-07","1.0675e-06","17.8404545454545","17.2457727272727","1.49685534591195","8.0535","27.2827084090909","6.02562704545455","2.55709045454546","1.45536363636364","37.3209581818182"
"LTREB","44047","CR","5","COBBLE","31.5","8.22500000000002e-08","6.475e-07","3.82295454545454","3.13482272727273","1.41666666666667","3.19095","5.38972588636364","1.07503629545455","0.425111113636363","0.347818704545455","7.23772636363636"
"LTREB","44047","GC","1","COBBLE","33.375","9.69392045454545e-07","8.91264204545455e-06","16.2020454545455","20.6576079545455","1.77844311377246","24.03","27.4804136931818","5.84161107954545","1.76746111363636","2.040914625","37.1305764886364"
"LTREB","44047","GC","2","COBBLE","31","8.28044444444445e-07","6.2372e-06","20.3741538461539","25.9770461538461","1.66","23.064","34.6246869230769","7.09711615384615","2.098142","2.53530082051282","46.3554684615385"
"LTREB","44047","GC","3","COBBLE","39","4.68e-07","3.40692857142857e-06","15.6195","15.9666","1.49275362318841","16.7505","24.2611785","3.9061295","1.01299575","1.25739575","30.4378555"
"LTREB","44047","GC","4","COBBLE","36.25","3.8515625e-07","2.94984375e-06","27.6535714285714","20.0949285714286","1.45098039215686","15.04375","38.5857083333333","4.9316019047619","3.02704416666666","1.78901345238095","48.3336198809524"
"LTREB","44047","GC","5","COBBLE","33.625","1.042375e-06","7.767375e-06","30.07588125","30.569664375","1.49027237354086","12.6127375","47.390610975","9.2327256","2.4542215","2.638654625","61.7165119625"
"LTREB","44047","WS","1","SAND","34.75","7.72222222222223e-08","3.97694444444445e-07","22.80903125","6.14684062499999","1.30487804878049","6.5191","26.7027064895833","2.75077380208333","2.48162346875","0.51097703125","32.4462516458333"
"LTREB","44047","WS","2","PEBBLE","27.375","1.10640625e-07","1.267234375e-06","9.5018625","3.800745","1.30666666666667","3.4246125","11.51194989375","1.05740180625","1.22870634375","0.4882824","14.28641709375"
"LTREB","44047","WS","3","COBBLE","35","1.5225e-07","1.75875e-06","13.8563793103448","4.41470689655172","1.28333333333333","4.949","16.3099577586207","1.23091017241379","1.56657827586207","0.429203793103448","19.5367574137931"
"LTREB","44047","WS","4","PEBBLE","38.875","2.39729166666667e-07","1.17920833333333e-06","12.45555","6.43536749999999","1.22222222222222","3.45171125","15.821728475","0.310992225000001","2.019424075","0.492211925","18.64446555"
"LTREB","44047","WS","5","SAND","7.375","4.53562500000001e-07","3.58492045454545e-06","7.745225","4.2008","1.56149732620321","9.77925","10.1722027833333","2.6376599","0.521738474999999","0.363492116666667","13.6951527666667"
"LTREB","44061","BG","1","COBBLE","21.5","4.41315789473683e-08","1.55026315789474e-07","4.05211764705882","1.38447352941176","1.32352941176471","6.59835","4.59158932352941","0.158929264705882","0.258603264705882","0.0420603235294117","5.05121252941176"
"LTREB","44061","BG","2","COBBLE","28.5","6.59999999999998e-08","6.045e-07","5.2065","3.204","1.30952380952381","40.6695","6.484632","0.00854099999999995","0.759721499999999","0.0195195","7.2724575"
"LTREB","44061","BG","3","COBBLE","28.5","6.64999999999998e-08","3.44714285714286e-07","0.724714285714286","3.08003571428571","1.34782608695652","23.6379","2.62379957142857","-0.394138714285715","-0.448785428571428","-0.631223428571428","1.14966557142857"
"LTREB","44061","BG","4","COBBLE","32.25","6.95921052631582e-08","7.45144736842105e-07","3.4443","2.88460125","1.35483870967742","9.72015","5.3559332625","-0.1645024125","0.684657825","-0.1198539","5.75627025"
"LTREB","44061","BG","5","COBBLE","27","6.45365853658535e-08","3.22682926829268e-07","2.81326829268293","2.60227317073171","1.39285714285714","10.3275","3.56481658536585","0.996550243902439","1.06593365853659","0.473863170731707","6.10118736585366"
"LTREB","44061","BN","1","COBBLE","10.75","2.98068181818182e-08","1.47568181818182e-07","4.9751","1.99004","1.24675324675325","2.71545","5.96702758333333","0.303660983333334","0.766783883333333","0.2554888","7.2930021"
"LTREB","44061","BN","2","COBBLE","34","7.22499999999997e-08","1.72125000000001e-07","2.2695","9.80423999999999","1.2","9.7342","4.3259016","-0.1628328","-0.00363630000000057","-0.2686238","3.8908359"
"LTREB","44061","BN","3","COBBLE","40","6.35294117647061e-08","6.35294117647061e-08","6.03652173913044","4.03982608695652","1.28888888888889","10.432","7.90345565217391","0.185761739130435","0.691368695652174","0.01876","8.79939826086957"
"LTREB","44061","BN","4","COBBLE","20","4.44444444444445e-08","2.35555555555556e-07","3.10064516129032","1.96374193548387","1.33333333333333","9.014","2.40257290322581","17.970655483871","-6.80903225806452","-0.00281161290322581","13.56132"
"LTREB","44061","BN","5","COBBLE","33.75","1.0125e-07","3.67875e-07","7.78244318181818","7.70052272727273","1.23287671232877","15.7815","9.57566352272727","0.164727613636366","0.836886477272728","0.128503125","10.7058451704545"
"LTREB","44061","CR","1","COBBLE","11","1.81176470588235e-08","6.92352941176472e-08","0.772894736842106","0.74197894736842","1.9047619047619","1.1583","1.17617557894737","0.392394315789473","0.339165894736842","0.219494578947368","2.12723847368421"
