"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","MACRO.OM.AREA.g.m2","MACRO.ASH.AREA.g.m2"
"DRONE","44740","GR","2","COBBLE","42","229.169476324073","319.593553503545"
"DRONE","44740","GR","3","COBBLE","55","98.6743233057644","313.031067233859"
"DRONE","44740","GR","16","COBBLE","42","6.22745553542351","43.5823156515945"
"DRONE","44740","GR","21","COBBLE","45","34.3016340725681","135.793948198266"
"LTREB","44033","WS","1","COBBLE","33.5","35.0754739463118","8.18427725413943"
"LTREB","44103","WS","1","COBBLE","33.5","154.962995864085","1122.00306547393"
"LTREB","44124","GC","1","COBBLE","30","7.19121303534926","-703.976016006455"
"LTREB","44369","GC","2","COBBLE","9.8125","2.6446907355519","6.76956647163817"
"LTREB","44369","GC","3","COBBLE","14.8125","2.30997049846424","13.170005336508"
"LTREB","44384","WS","5","COBBLE","36.75","16.3049315276013","16.3834744627031"
"LTREB","44384","DL","5","COBBLE","16.5","13.5087341991895","8.9547684984934"
"LTREB","44384","GR","5","COBBLE","37.25","5.02748459897135","42.5348580722274"
"LTREB","44384","GC","3","COBBLE","13.8125","44.4254261179336","367.870401566453"
"LTREB","44411","DL","1","COBBLE","3.4375","1.12676408027602","6.15025393817331"
"LTREB","44411","DL","2","COBBLE","5.75","1.07182023674398","4.02151967190022"
"LTREB","44411","GC","1","COBBLE","24.875","0.698368885123314","3.09789274682906"
"LTREB","44411","GC","2","COBBLE","21.375","53.6859885826158","248.925715757401"
"LTREB","44411","GC","5","COBBLE","27.625","40.8667701813177","198.27951458343"
"LTREB","44411","GR","3","SAND","9.6875","5.20326456062266","30.3254445924489"
"LTREB","44411","GR","4","COBBLE","15.5625","5.43147489507767","20.8257681476047"
"LTREB","44397","WS","1","COBBLE","30.5","0.51677864947566","1.01251201458353"
"LTREB","44397","WS","5","COBBLE","33.125","5.54309406598214","23.8934128522276"
"LTREB","44397","GC","1","COBBLE","26.25","51.2160378739396","382.128581725629"
"LTREB","44397","GC","2","COBBLE","33.5","2.09400579459481","5.63545948070742"
"LTREB","44425","WS","1","COBBLE","27.625",NA,NA
"LTREB","44425","WS","2","COBBLE","12.25","1.61216003016929","-0.429148650341393"
"LTREB","44425","WS","3","COBBLE","33.625",NA,NA
"LTREB","44425","WS","4","COBBLE","39",NA,NA
"LTREB","44425","WS","5","COBBLE","26","2.33125663735339","2.69035703863514"
"LTREB","44425","DL","1","COBBLE","9.375",NA,NA
"LTREB","44425","DL","2","COBBLE","20.625",NA,NA
"LTREB","44425","DL","3","COBBLE","21",NA,NA
"LTREB","44425","DL","4","COBBLE","36.125",NA,NA
"LTREB","44425","DL","5","COBBLE","37.625",NA,NA
"LTREB","44425","GR","1","COBBLE","25.75",NA,NA
"LTREB","44425","GR","2","COBBLE","36.7",NA,NA
