ROW,PROJECT,DATE,DAY,MONTH,YEAR,SITE,SAMPLE,SUBSTRATE,AVERAGE_DEPTH,CPOM_OM_AREA_g_m2,CPOM_ASH_AREA_g_m2,EPIL_OM_AREA_g_m2,EPIL_ASH_AREA_g_m2,EPIL_CHLA_MG_M2_HAUER,EPIL_PHAEO_MG_M2_HAUER,EPIL_640_664,PHICOCYANIN_MG_M2,EPIL_CHLA_MG_M2_RITCHIE,EPIL_CHLB_MG_M2_RITCHIE,EPIL_CHLC_MG_M2_RITCHIE,EPIL_CHLD_MG_M2_RITCHIE,EPIL_CHL_TOTAL_MG_M2_RITCHIE,EPIP_OM_AREA_g_m2,EPIP_ASH_AREA_g_m2,EPIP_CHLA_MG_M2_HAUER,EPIP_PHAEO_MG_M2_HAUER,EPIP_640_664,EPIP_PHICOCYANIN_MG_M2,EPIP_CHLA_MG_M2_RITCHIE,EPIP_CHLB_MG_M2_RITCHIE,EPIP_CHLC_MG_M2_RITCHIE,EPIP_CHLD_MG_M2_RITCHIE,EPIP_CHL_TOTAL_MG_M2_RITCHIE,FBOM_AREA_g_m2,FBOM_ASH_AREA_g_m2,FBOM_CHLA_MG_M2_HAUER,FBOM_PHAEO_MG_M2_HAUER,FBOM_640_664,FBOM_PHICOCYANIN_MG_M2,FBOM_CHLA_MG_M2_RITCHIE,FBOM_CHLB_MG_M2_RITCHIE,FBOM_CHLC_MG_M2_RITCHIE,FBOM_CHLD_MG_M2_RITCHIE,FBOM_CHL_TOTAL_MG_M2_RITCHIE,FILA_OM_AREA_g_m2,FILA_ASH_AREA_g_m2,FILA_CHLA_MG_M2_HAUER,FILA_PHAEO_MG_M2_HAUER,FILA__640_664,FILA_CHLA_MG_M2_RITCHIE,FILA_CHLB_MG_M2_RITCHIE,FILA_CHLC_MG_M2_RITCHIE,FILA_CHLD_MG_M2_RITCHIE,FILA_CHL_TOTAL_MG_M2_RITCHIE,MACRO_OM_AREA_g_m2,MACRO_ASH_AREA_g_m2
1,LTREB,7/21/2020,21,7,2020,WS,1,COBBLE,33.5,35.07547395,8.184277254,14.27337953,50.21872523,22.72610108,0.891562427,1.01242236,2.778071071,23.54737039,4.104858958,1.572767322,0.550945902,29.77608661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41E-07,1.34E-06,10.1371,3.63743,1.346938776,41.004,11.46880317,2.1386869,0.6465902,0.235674733,14.48982423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.07547395,8.184277254
2,LTREB,7/21/2020,21,7,2020,WS,5,SAND,17.75,36.36157466,13.91327133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.16E-08,2.75E-07,11.848125,1.7535225,1.296875,8.08335,12.2777531,1.9026651,0.9979689,0.50132035,15.67978555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,LTREB,7/21/2020,21,7,2020,GC,1,COBBLE,25.75,41.30721648,3.121717181,20.61034849,106.5779968,34.5761395,9.057974573,1.247058824,4.996337578,39.59248735,9.813309799,3.787650075,2.064390262,55.25807703,1.997631754,14.8953846,1.201236771,2.253130593,2.381333333,0.97519171,2.46190485,0.645504502,0.285242785,0.240216834,3.632884718,3.24E-06,5.72E-07,5.937715909,2.156328409,1.462962963,12.566,6.68511083,0.777480284,0.78164008,0.22989717,8.47417167,64.93288655,272.4510822,295.1273228,132.1766813,1.655462185,365.1133866,174.4128032,-9.647816953,0.203487545,530.0835231,NA,NA
4,LTREB,7/21/2020,21,7,2020,GC,5,COBBLE,32.75,43.56373864,4.372742419,15.15260474,77.44664647,41.13174558,2.60725819,1.068817204,6.678089636,42.89419976,7.740629845,2.732975142,1.35079747,54.71886654,5.350178959,41.9198681,5.519195976,2.605385159,1.485714286,1.036597173,7.391866224,-2.423237709,1.870697673,0.32652051,7.165909927,2.85E-07,1.44E-06,4.580321429,1.540653571,1.428571429,5.904825,3.798695893,1.23935825,1.623096238,0.901370452,7.562548905,115.749064,369.4616589,NA,NA,1.504201681,145.9601196,47.04951451,4.742319347,2.912494789,200.6652401,NA,NA
5,LTREB,8/4/2020,4,8,2020,WS,1,SAND,34.75,36.9987791,33.49707762,0.389727488,1.851205569,0.437040405,0.071019066,1.114864865,0.803345272,0.478885183,0.105925681,0.021915711,0.005427316,0.612156667,0.282942157,1.190227749,1.304877782,0.071799495,1.223709369,0.439144934,1.372113724,0.083761541,0.19253849,0.003814224,1.652236818,7.72E-08,3.98E-07,22.80903125,6.146840625,1.304878049,6.5191,26.70270649,2.750773802,2.481623469,0.510977031,32.44625165,NA,NA,48.37895256,5.757776749,1.334231806,52.44362165,12.36422552,3.271756502,0.210928354,68.29082934,NA,NA
6,LTREB,8/4/2020,4,8,2020,WS,5,SAND,7.375,98.52232959,21.37733219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54E-07,3.58E-06,7.745225,4.2008,1.561497326,9.77925,10.17220278,2.6376599,0.521738475,0.363492117,13.69515277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,LTREB,8/4/2020,4,8,2020,GC,1,COBBLE,33.375,2.296274361,12.16651273,6.753197917,29.70658807,17.03208894,6.113570928,1.06012024,20.66366321,20.42558324,6.825567506,0.59027215,0.688400231,28.52993537,4.103830452,32.93703922,2.110280815,1.383857226,1.395348837,6.082788692,2.878380473,0.363449512,0.231761393,0.085687676,3.559297445,9.69E-07,8.91E-06,16.20204545,20.65760795,1.778443114,24.03,27.48041369,5.84161108,1.767461114,2.040914625,37.13057649,46.33196332,367.6812069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,LTREB,8/4/2020,4,8,2020,GC,3,COBBLE,39,4.184504042,13.25385242,1.756891517,5.881767253,9.585752891,2.335252566,0.982725528,10.1575065,10.97501849,1.985689399,0.538710299,0.303714219,13.80319962,3.624465641,22.00401399,2.871979807,2.241392936,1.459627329,8.600506212,4.127432972,0.592361619,0.318005471,0.164011279,5.201837765,4.68E-07,3.41E-06,15.6195,15.9666,1.492753623,16.7505,24.2611785,3.9061295,1.01299575,1.25739575,30.4378555,130.1853282,558.1835034,115.8497356,46.33989425,1.510416667,144.4633593,36.45181288,8.10031548,2.678537005,191.6948518,NA,NA
9,LTREB,8/4/2020,4,8,2020,GC,4,COBBLE,36.25,5.386423616,10.07133775,1.124753531,4.109676364,4.273630821,2.315845891,1.177966102,9.430625762,5.603729956,0.913312629,0.329177506,0.184744445,7.030999576,6.31358531,41.56443663,2.528590917,2.486447735,1.544117647,5.855850375,3.886884612,0.454986421,0.259203456,0.17436781,4.775467816,3.85E-07,2.95E-06,27.65357143,20.09492857,1.450980392,15.04375,38.58570833,4.931601905,3.027044167,1.789013452,48.33361988,135.3606176,771.0070892,154.7975125,122.1180376,1.48,216.8243862,87.3025117,-1.315488973,5.796339066,308.6088592,NA,NA
10,LTREB,8/18/2020,18,8,2020,GC,1,COBBLE,22.25,84.54011792,245.317473,4.777279551,20.18242771,12.98010004,5.192040016,1.109489051,9.213625496,15.90155464,4.32838995,1.116602389,0.716470081,22.0631105,0.98415934,5.083020766,1.992435991,0.918253109,1.392344498,1.340835988,2.472344097,0.360249255,0.300533711,0.107813682,3.240956644,2.45E-08,3.89E-08,1.18815,1.51489125,1.47826087,5.097475,2.029737338,0.667576763,0.792343638,0.301354,3.791025088,25.01775666,188.2194612,28.20344477,5.18445676,1.551912568,31.6686813,3.246826046,1.619628952,-0.677188693,35.85813867,NA,NA
